time,fcacc,rlvacc,frtjacc,frtmacc,fbracc,rlwacc,crtacc,rleavc,frootcj,frootcm,fbrchc,rlwodc,crootc,strucc(1),strucc(2),metabc(1),metabc(2),som1c(1),som1c(2),som2c(1),som2c(2),som3c,dslit,dsom2c(1),dsom2c(2),dsom3c,dsomtc,dsomsc,nppt,nstemp,natemp,Condition
1994,0,0,0,0,0,0,0,0.6765,169.537,139.8615,764.2339,5885.718,1426.832,544.6955,244.5558,69.9728,60.1065,31.4146,67.1714,795.3701,2531.374,2972.752,165.9466,279.3463,187.324,-13.0342,85.9424,79.9275,0.3551612903,-0.002861290323,-0.510483871,N_addition
1994.08,0,0,0,0,0,0,0,0.6765,151.7658,136.4252,761.9446,5882.781,1426.119,540.3909,247.0897,67.143,68.1277,32.9304,68.0125,795.4725,2531.37,2972.775,165.9256,279.0241,187.3338,-13.03,86.0279,79.9388,0.1903571429,-0.1871285714,-3.966071429,N_addition
1994.17,0,0,0,0,0,0,0,0.6765,135.6882,133.0361,759.662,5879.842,1425.405,536.9832,249.3333,65.1758,74.4086,33.989,69.1355,795.5905,2531.211,2972.802,165.9011,278.7545,187.3407,-13.0284,86.0939,79.9473,0.0435483871,1.130354839,0.8040322581,N_addition
1994.25,0,0,0,0,0,0,0,0.6765,121.2242,129.7128,757.3864,5876.905,1424.693,535.0964,251.1607,64.5644,79.0146,34.5797,70.4951,795.6791,2530.703,2972.829,165.8541,278.5834,187.3333,-13.0259,86.1326,79.9458,0.15,9.01277,8.213333333,N_addition
1994.33,43.6446,39.2802,4.1462,0.2182,0,0,0,39.9566,115.2065,127.8659,755.1175,5873.961,1423.982,528.211,250.2451,59.194,71.6806,35.9651,73.0941,795.98,2530.325,2972.891,165.9595,278.0865,187.3286,-13.0223,86.0336,79.9572,0.3922580645,13.11655806,11.95725806,N_addition
1994.42,177.4916,147.7148,28.2879,1.4888,0,0,0,148.3913,128.7514,127.8446,752.8555,5871.024,1423.271,516.1813,248.6382,50.3236,62.7999,37.2328,74.8858,796.5842,2530.658,2972.968,166.2023,277.2135,187.3519,-13.0178,85.9225,79.9858,0.4973333333,18.45547333,17.3325,N_addition
1994.5,265.3314,182.0215,61.1702,3.2195,3.4056,12.4873,3.0272,182.698,144.8614,130.5509,754.0052,5880.581,1425.588,486.9023,245.6983,32.9952,49.1319,36.3399,75.2761,797.9045,2533.763,2973.094,166.8741,275.0757,187.4646,-13.0102,85.7933,80.0898,0.3032258065,22.33851613,21.08306452,N_addition
1994.58,457.6202,182.475,139.0693,7.3194,23.1762,84.9792,20.601,183.1515,194.0204,139.2232,771.4861,5950.117,1442.444,468.0084,244.6544,26.0204,44.602,34.0935,73.7002,798.2688,2534.81,2973.222,167.1679,273.6843,187.4865,-13.0025,85.657,80.0926,0.4274193548,19.30114516,18.3733871,N_addition
1994.67,586.5953,182.6911,204.695,10.7734,33.9185,124.3677,30.1497,183.3675,225.5347,148.2878,779.8934,5986.515,1451.268,449.8105,243.898,21.2044,41.7813,31.4146,71.2418,798.0214,2535.217,2973.365,167.3542,272.3676,187.4952,-12.994,85.4966,80.0645,0.2606666667,14.63066,14.37666667,N_addition
1994.75,612.3821,182.6911,229.1924,12.0628,33.9185,124.3677,30.1497,183.3675,224.6207,151.5172,777.5572,5983.526,1450.543,434.4418,242.2151,18.0279,39.8966,29.2855,69.3285,797.3147,2535.118,2973.484,167.4792,271.3086,187.4967,-12.9862,85.3493,80.0307,0.5580645161,7.936219355,8.732258065,N_addition
1994.83,620.7302,182.6911,237.1231,12.4802,33.9185,124.3677,30.1497,109.0916,212.8909,150.7159,775.2279,5980.529,1449.816,474.2249,242.2576,39.9539,43.1348,28.4386,68.3245,796.632,2535.164,2973.56,161.6879,270.6036,187.5116,-12.9819,85.3096,80.0196,0.4076666667,5.205636667,6.765833333,N_addition
1994.92,620.7302,182.6911,237.1231,12.4802,33.9185,124.3677,30.1497,0.682,195.0009,148.1907,772.9056,5977.541,1449.091,540.0627,243.409,70.7619,48.7322,30.0981,68.1499,796.4237,2535.055,2973.612,155.5002,270.1028,187.5171,-12.9788,85.3168,80.0119,0.1674193548,0.8616580645,3.153225806,N_addition
